month,volume_usd
2023-08,163914496
2023-09,100945693
2023-10,145514281
2023-11,188455919
2023-12,444181369
2024-01,458324948
2024-02,618148210
2024-03,2530142554
2024-04,1650040399
2024-05,1382152535
2024-06,1440716583
2024-07,1387402011
2024-08,1289459473
2024-09,1340142011
2024-10,3051342961
2024-11,8926570281
2024-12,9499288846
2025-01,20779916732
2025-02,9158924613
2025-03,3205142549
2025-04,1359
2025-05,4694174285
2025-06,8811211962
2025-07,9475222961
2025-08,7749718755
2025-09,12525599808
2025-10,14067467127
2025-11,9099843923
2025-12,9024691329
2026-01,9848713262
2026-02,7958255401
2026-03,6134168255
2026-04,5665985015
2026-05,5030609865
2026-06,8356293311
2026-07,6990764981
2026-08,180246527
