month,fees_usd,source,note
2023-10,10029,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2023-11,32137,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2023-12,183848,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-01,1217834,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-02,845901,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-03,1335861,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-04,892365,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-05,1181154,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-06,987058,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-07,893347,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-08,873490,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-09,842973,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-10,977519,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-11,3623282,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2024-12,4456279,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-01,3121084,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-02,2777557,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-03,2489326,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-04,1243333,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-05,942515,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-06,733859,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-07,586579,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-08,311046,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-09,336130,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-10,264762,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-11,488785,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2025-12,327664,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2026-01,900049,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2026-02,338853,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2026-03,221293,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2026-04,470930,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2026-05,294364,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2026-06,220516,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2026-07,216837,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
2026-08,7150,DefiLlama api.llama.fi/summary/fees/trust-wallet-wallet,dailyFees aggregated; fetched 2026-08-02
