month,avg_price_usd,end_price_usd,avg_mcap_usd,end_mcap_usd,source
2025-08,0.7709,0.7386,321167193,307677536,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2025-09,0.9461,1.3238,394032253,550822544,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2025-10,1.3476,1.2156,561432821,506256068,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2025-11,1.1569,1.0146,482017295,422715417,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2025-12,0.9291,0.8717,387128623,363221699,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2026-01,0.8895,0.8184,370616233,340976095,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2026-02,0.5516,0.512,229807997,213329610,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2026-03,0.4942,0.4209,205922444,175388490,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2026-04,0.4101,0.4296,170851167,179001741,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2026-05,0.4626,0.4591,192732500,191296199,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2026-06,0.3884,0.3529,161835735,147052107,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2026-07,0.3486,0.3945,145253464,164386040,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
2026-08,0.3757,0.3785,156538184,157700616,CoinGecko /coins/trust-wallet-token/market_chart fetched 2026-08-02
