wallet,extension_id,users,rating,rating_count
MetaMask,nkbihfbeogaeaoehlefnkodbefgpgknn,12000000,,
Phantom,bfnaelmomeimhlpmgjnjophhpkkoljpa,4000000,,
OKX Wallet,mcohilncbfahbmgdjkbpemcciiolgcge,1000000,,
Coinbase Wallet,hnfanknocfeofbddgcijnmhnfnkdnaad,1000000,,
Trust Wallet,egjidjbpglichdcondbcbdnbeeppgdph,1000000,,
Rabby,acmacodkjbdgmoleebolmdjonilkdbch,800000,,
Bitget Wallet,jiidiaalihmmhddjgbnbgdfflelocpak,300000,,
Backpack,aflkmfhebedbjioipglgcbcmnbpgliof,300000,,
Rainbow,opfgelmcmbiajamepnmloijbpoleiama,100000,,
Keplr,dmkamcknogkgcdfhhbddcghachkejeap,1000000,,
Solflare,bhhhlbepdkbapadjdnnojkbgioiodbic,700000,,
