protocol_metric,month,usd
Binance Wallet,2025-02,145279841
Binance Wallet,2025-03,786425283
Binance Wallet,2025-04,503493171
Binance Wallet,2025-05,9804797855
Binance Wallet,2025-06,18135566648
Binance Wallet,2025-07,13410691985
Binance Wallet,2025-08,10476821302
Binance Wallet,2025-09,9413881398
Binance Wallet,2025-10,13032496110
Binance Wallet,2025-11,4324456437
Binance Wallet,2025-12,3717552521
Binance Wallet,2026-01,3697863529
Binance Wallet,2026-02,1551821188
Binance Wallet,2026-03,1388787016
Binance Wallet,2026-04,1919543155
Binance Wallet,2026-05,1662884571
Binance Wallet,2026-06,1466827629
Binance Wallet,2026-07,10744293279
Binance Wallet,2026-08,633882861
Bitget Wallet X,2022-11,179593218
Bitget Wallet X,2022-12,156406573
Bitget Wallet X,2023-01,143393104
Bitget Wallet X,2023-02,176511687
Bitget Wallet X,2023-03,180664803
Bitget Wallet X,2023-04,198439088
Bitget Wallet X,2023-05,235508057
Bitget Wallet X,2023-06,139124080
Bitget Wallet X,2023-07,118418828
Bitget Wallet X,2023-08,89623589
Bitget Wallet X,2023-09,76971282
Bitget Wallet X,2023-10,116768607
Bitget Wallet X,2023-11,138596623
Bitget Wallet X,2023-12,131756816
Bitget Wallet X,2024-01,121929357
Bitget Wallet X,2024-02,110804841
Bitget Wallet X,2024-03,236263315
Bitget Wallet X,2024-04,402735407
Bitget Wallet X,2024-11,96483756
Bitget Wallet X,2024-12,319251995
Bitget Wallet X,2025-01,526737321
Bitget Wallet X,2025-02,435787606
Bitget Wallet X,2025-03,1936816091
Bitget Wallet X,2025-04,429421047
Bitget Wallet X,2025-05,352262508
Bitget Wallet X,2025-06,406792300
Bitget Wallet X,2025-07,613944412
Bitget Wallet X,2025-08,171075379
Bitget Wallet X,2025-09,372795578
Bitget Wallet X,2025-10,512193936
Bitget Wallet X,2025-11,361319833
Bitget Wallet X,2025-12,266008632
Bitget Wallet X,2026-01,213012160
Bitget Wallet X,2026-02,171406135
Bitget Wallet X,2026-03,304224260
Bitget Wallet X,2026-04,689105907
Bitget Wallet X,2026-05,801093906
Bitget Wallet X,2026-06,1037075475
Bitget Wallet X,2026-07,1276734218
Bitget Wallet X,2026-08,85022240
OKX Swap,2023-08,163914496
OKX Swap,2023-09,100945693
OKX Swap,2023-10,145514281
OKX Swap,2023-11,188455919
OKX Swap,2023-12,444181369
OKX Swap,2024-01,458324948
OKX Swap,2024-02,618148210
OKX Swap,2024-03,2530142554
OKX Swap,2024-04,1650040399
OKX Swap,2024-05,1382152535
OKX Swap,2024-06,1440716583
OKX Swap,2024-07,1387402011
OKX Swap,2024-08,1289459473
OKX Swap,2024-09,1340142011
OKX Swap,2024-10,3051342961
OKX Swap,2024-11,8926570281
OKX Swap,2024-12,9499288846
OKX Swap,2025-01,20779916732
OKX Swap,2025-02,9158924613
OKX Swap,2025-03,3205142549
OKX Swap,2025-04,1359
OKX Swap,2025-05,4694174285
OKX Swap,2025-06,8811211962
OKX Swap,2025-07,9475222961
OKX Swap,2025-08,7749718755
OKX Swap,2025-09,12525599808
OKX Swap,2025-10,14067467127
OKX Swap,2025-11,9099843923
OKX Swap,2025-12,9024691329
OKX Swap,2026-01,9848713262
OKX Swap,2026-02,7958255401
OKX Swap,2026-03,6134168255
OKX Swap,2026-04,5665985015
OKX Swap,2026-05,5030609865
OKX Swap,2026-06,8356293311
OKX Swap,2026-07,6990764981
OKX Swap,2026-08,180246527
OKX Swap FEES,2025-10,5871711
OKX Swap FEES,2025-11,4984784
OKX Swap FEES,2025-12,0
OKX Swap FEES,2026-01,0
OKX Swap FEES,2026-02,0
OKX Swap FEES,2026-03,0
OKX Swap FEES,2026-04,0
OKX Swap FEES,2026-05,0
OKX Swap FEES,2026-06,0
OKX Swap FEES,2026-07,0
OKX Swap FEES,2026-08,0
