metric,protocol,category,slug,usd_24h,usd_7d,usd_30d,usd_1y,usd_all_time,chains
fees,MetaMask Wallet,Wallets,metamask-wallet,61237,413415,1585583,41677762,192893068,BSC;Ethereum;Polygon;Arbitrum;Linea;OP Mainnet;Base;Hyperliquid L1;Avalanche;Monad;Solana
fees,Rainbow Wallet,Wallets,rainbow-wallet,1614,9051,30245,1416330,8339868,BSC;OP Mainnet;Ethereum;Arbitrum;Berachain;Polygon;Avalanche;Base;Blast;Ink;ApeChain;Zora;Gravity by Galxe;Unichain;Monad;Degen;Sonic;Celo;Katana;World Chain;Scroll;Plasma;Linea;Hyperliquid L1;Mantle;Ronin;BOB;Plume Mainnet;MegaETH;B3
fees,Coinbase Wrapped Staked ETH,Liquid Staking,coinbase-wrapped-staked-eth,59146,432710,1805599,36478896,57538925,Ethereum
fees,Zerion Wallet,Wallets,zerion-wallet,0,0,0,434397,3425903,BSC;OP Mainnet;Ethereum;Polygon;Arbitrum;Base;Monad
fees,Coinbase Commerce,Payments,coinbase-commerce,0,0,0,727866,2659742,Ethereum;Base;Polygon
fees,OKX Swap,DEX Aggregator,okx-swap,0,0,0,10856495,10856495,Mantle;Blast;Sonic;Unichain;Metis;ZKsync Era;Avalanche;Linea;OP Mainnet;Arbitrum;Plasma;Polygon;Ethereum;Base;BSC
fees,Bitget SOL,Liquid Staking,bitget-sol,0,9595,56280,1075831,1738964,Solana
fees,Phantom Wallet,Wallets,phantom-wallet,138044,1055286,5677506,117387391,552416490,Solana;Ethereum;Base;Polygon;Monad
fees,Trust Wallet Wallet,Wallets,trust-wallet-wallet,1818,36172,200267,4386489,34645654,Ethereum;OP Mainnet;Arbitrum;Base;Polygon;Avalanche;BSC
fees,Base App,Wallets,base-app,5445,88846,466676,21258758,125594246,OP Mainnet;Avalanche;Arbitrum;Polygon;BSC;Base;Ethereum
fees,Rabby Wallet,Wallets,rabby-wallet,2889,26542,94555,3966844,12960289,Ethereum;BSC;Base;Arbitrum;Gnosis;Berachain;Sonic;Abstract;Blast;Scroll;Unichain;Manta;Polygon;OP Mainnet;Mantle;Avalanche;Polygon zkEVM;ZKsync Era;Arbitrum Nova;Linea;Monad
fees,Coinbase Bridge,Bridge,coinbase-bridge,0,0,0,0,0,Ethereum;Arbitrum;Base;Solana
fees,Holdstation Wallet Miniapp,DEX Aggregator,holdstation-wallet-miniapp,15.66,262.19,1222.8200000000004,46748.82,55792.48,World Chain
fees,Phantom SOL,Liquid Staking,phantom-sol,754,104189,497149,7284818,7737409,Solana
fees,Phantom Perps,Interface,phantom-perps,14352,203641,1018377,22204741,23590774,Hyperliquid L1
fees,Okto Wallet Perps,Interface,okto-wallet-perps,0.82,30.990000000000002,259.99,175040.99,884772.99,Hyperliquid L1
fees,Wallet V,Interface,wallet-v,3.77,3893.77,5793.77,73779.77,95106.77,Hyperliquid L1
