slug,month,volume_usd
metamask-wallet,2024-10,144440343
metamask-wallet,2024-11,930474759
metamask-wallet,2024-12,1097680002
metamask-wallet,2025-01,876761438
metamask-wallet,2025-02,538696938
metamask-wallet,2025-03,402913485
metamask-wallet,2025-04,345400443
metamask-wallet,2025-05,460912613
metamask-wallet,2025-06,396330704
metamask-wallet,2025-07,534494488
metamask-wallet,2025-08,635496443
metamask-wallet,2025-09,584338260
metamask-wallet,2025-10,798523842
metamask-wallet,2025-11,627843531
metamask-wallet,2025-12,411490779
metamask-wallet,2026-01,503920908
metamask-wallet,2026-02,267481200
metamask-wallet,2026-03,262642945
metamask-wallet,2026-04,227591444
metamask-wallet,2026-05,202220428
metamask-wallet,2026-06,191654465
metamask-wallet,2026-07,163764014
metamask-wallet,2026-08,12031413
