slug,month,volume_usd
metamask-card,2025-02,719318
metamask-card,2025-03,1558925
metamask-card,2025-04,1710490
metamask-card,2025-05,2503301
metamask-card,2025-06,2429518
metamask-card,2025-07,3113503
metamask-card,2025-08,3865366
metamask-card,2025-09,4297179
metamask-card,2025-10,5307951
metamask-card,2025-11,5077322
metamask-card,2025-12,4791498
metamask-card,2026-01,4854910
metamask-card,2026-02,4256793
metamask-card,2026-03,5143353
metamask-card,2026-04,5135843
metamask-card,2026-05,4251789
metamask-card,2026-06,3552378
metamask-card,2026-07,3304670
metamask-card,2026-08,213114
bitget-wallet-card,2025-04,233948
bitget-wallet-card,2025-05,502568
bitget-wallet-card,2025-06,717385
bitget-wallet-card,2025-07,1100882
bitget-wallet-card,2025-08,1389299
bitget-wallet-card,2025-09,1764151
bitget-wallet-card,2025-10,2019954
bitget-wallet-card,2025-11,2582135
bitget-wallet-card,2025-12,4033201
bitget-wallet-card,2026-01,5146483
bitget-wallet-card,2026-02,4131127
bitget-wallet-card,2026-03,4690782
bitget-wallet-card,2026-04,4250323
bitget-wallet-card,2026-05,4664232
bitget-wallet-card,2026-06,4329317
bitget-wallet-card,2026-07,1256594
bitget-wallet-card,2026-08,45602
safepal-card,2025-07,160845
safepal-card,2025-08,670306
safepal-card,2025-09,745881
safepal-card,2025-10,856132
safepal-card,2025-11,860497
safepal-card,2025-12,1053496
safepal-card,2026-01,1234834
safepal-card,2026-02,1108639
safepal-card,2026-03,1331770
safepal-card,2026-04,1068446
safepal-card,2026-05,1150431
safepal-card,2026-06,1032776
safepal-card,2026-07,698712
safepal-card,2026-08,24570
fomo-wallet,2026-05,27262410
fomo-wallet,2026-06,274238391
fomo-wallet,2026-07,486773347
fomo-wallet,2026-08,14123993
