slug,fees_24h,fees_30d,fees_allTime,revenue_24h,revenue_30d,revenue_allTime
phantom-wallet,138044,5677506,552416490,138044,5677506,552416490
metamask-wallet,60826,1585583,192892657,60826,1585583,192892657
trust-wallet-wallet,1873,200267,34645709,1873,200267,34645709
rabby-wallet,2889,94555,12960289,2889,94555,12960289
base-app,5445,466676,125594246,5445,466676,125594246
rainbow-wallet,1614,30245,8339868,1614,30245,8339868
telegram-wallet,3929,693097,3129884,3929,693097,3129884
fomo-wallet,156329,7334357,28001032,148851,6756877,26820863
phantom-perps,14352,1018377,23590774,14352,1018377,23590774
metamask-perps,7008,652470,8275371,7008,652470,8275371
rabby-perps,2357,152734,1487656,2357,152734,1487656
trust-wallet-perps,7036,165589,182718,7036,165589,182718
rainbow-perps,250,9192,596883,250,9192,596883
fomo-perps,2322,159915,320008,2322,159915,320008
metamask-predictions,3043,236717,239760,3043,236717,239760
phantom-sol,754,497149,7737409,754,6859,253437
metamask-usd,1802,65083,1054849,1802,65083,1054849
zerion-wallet,0,0,3425903,0,0,3425903
bitget-wallet-x,,,,,,
