slug,month,fees_usd
phantom-perps,2025-07,1317387
phantom-perps,2025-08,2836753
phantom-perps,2025-09,1918500
phantom-perps,2025-10,2792095
phantom-perps,2025-11,2281703
phantom-perps,2025-12,1626451
phantom-perps,2026-01,1559769
phantom-perps,2026-02,1837222
phantom-perps,2026-03,1952037
phantom-perps,2026-04,1268377
phantom-perps,2026-05,1234215
phantom-perps,2026-06,1807252
phantom-perps,2026-07,1144661
phantom-perps,2026-08,14352
metamask-perps,2025-10,677108
metamask-perps,2025-11,902558
metamask-perps,2025-12,632765
metamask-perps,2026-01,1297125
metamask-perps,2026-02,911190
metamask-perps,2026-03,766709
metamask-perps,2026-04,802000
metamask-perps,2026-05,659536
metamask-perps,2026-06,915001
metamask-perps,2026-07,704371
metamask-perps,2026-08,7008
rabby-perps,2025-09,35490
rabby-perps,2025-10,54087
rabby-perps,2025-11,83533
rabby-perps,2025-12,62205
rabby-perps,2026-01,76958
rabby-perps,2026-02,132434
rabby-perps,2026-03,148363
rabby-perps,2026-04,175015
rabby-perps,2026-05,225284
rabby-perps,2026-06,315373
rabby-perps,2026-07,176557
rabby-perps,2026-08,2357
trust-wallet-perps,2026-04,14
trust-wallet-perps,2026-05,4535
trust-wallet-perps,2026-06,11566
trust-wallet-perps,2026-07,159567
trust-wallet-perps,2026-08,7036
rainbow-perps,2025-09,3776
rainbow-perps,2025-10,53085
rainbow-perps,2025-11,73838
rainbow-perps,2025-12,71147
rainbow-perps,2026-01,149264
rainbow-perps,2026-02,76443
rainbow-perps,2026-03,51639
rainbow-perps,2026-04,30950
rainbow-perps,2026-05,34288
rainbow-perps,2026-06,38698
rainbow-perps,2026-07,13505
rainbow-perps,2026-08,250
fomo-perps,2026-06,133889
fomo-perps,2026-07,183797
fomo-perps,2026-08,2322
metamask-predictions,2026-07,233819
metamask-predictions,2026-08,5941
telegram-wallet,2026-04,705251
telegram-wallet,2026-05,868437
telegram-wallet,2026-06,763439
telegram-wallet,2026-07,788828
telegram-wallet,2026-08,3929
