metric,period,value,source
MAU (millions),2026-03-31,1.5,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
MAU (millions),2025-03-31,1.6,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
QFU quarterly funded users (millions),2026-03-31,1.4,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
QFU quarterly funded users (millions),2025-03-31,1.8,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Total revenue ($k),Q1 2026,22747,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Total revenue ($k),Q1 2025,35996,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Exchange aggregation revenue ($k),Q1 2026,20003,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Exchange aggregation revenue ($k),Q1 2025,33807,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Fiat onboarding revenue ($k),Q1 2026,1947,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Fiat onboarding revenue ($k),Q1 2025,1140,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Staking revenue ($k),Q1 2026,659,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Staking revenue ($k),Q1 2025,588,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Consulting revenue ($k),Q1 2026,108,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Consulting revenue ($k),Q1 2025,337,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Other revenue ($k),Q1 2026,30,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Other revenue ($k),Q1 2025,124,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Exchange aggregation - users ($k),Q1 2026,16536,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Exchange aggregation - users ($k),Q1 2025,27819,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Exchange aggregation - partnerships ($k),Q1 2026,3467,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
Exchange aggregation - partnerships ($k),Q1 2025,5988,"SEC EDGAR 10-Q Q1-2026 (CIK 0001821534, filed 2026-05-11)"
